id,barcode,desc,acost,adate,cat_type,locname,dept,datetime_scanned,scanned
124,0106-0008783100001,"ASC 389 20FTR. CONTAINER VAN",95000,10/25/2015,"CONTAINER VAN",GROWOUT-LOMANGOG,"GROWOUT LOMANGOG-ADMIN","2026-08-25 09:47:53 AM",1
125,0106-0008756300001,"ASC 378 20FTR. CONTAINER VAN",95000,09/15/2015,"CONTAINER VAN",GROWOUT-LOMANGOG,"GROWOUT LOMANGOG-ADMIN","2026-08-25 09:50:50 AM",1
126,0002830500036,"AGC-T-65 TRAILER 20FTR. PL#:GUE-645",210000,05/20/1998,VEHICLE,LOGISTICS,"DELIVERY & TRUCKING","2026-08-25 09:51:46 AM",1
127,0116-0008684200001,"MITS. FUSO CANTER FE85 18FTR CS#:H0F121 PL#:GBC-6711",1589286,04/24/2024,VEHICLE,"MFI-BREEDER SUBAYON BILAR","BSB-SUBAYON ADMIN","2026-08-25 11:21:34 AM",1
128,0106-0008770100001,"ASC 444 20FTR. CONTAINER VAN",95000,10/25/2015,"CONTAINER VAN",GROWOUT-LOMANGOG,"GROWOUT LOMANGOG-ADMIN","2026-08-25 05:10:23 PM",1
129,0106-0008776900001,"ASC 401 20FTR. CONTAINER VAN",95000,10/25/2015,"CONTAINER VAN",GROWOUT-LOMANGOG,"GROWOUT LOMANGOG-ADMIN","2026-08-25 05:10:42 PM",1
130,0106-0008756500001,"ASC 376 20FTR. CONTAINER VAN",95000,09/15/2015,"CONTAINER VAN",GROWOUT-LOMANGOG,"GROWOUT LOMANGOG-ADMIN","2026-08-25 05:11:07 PM",1
139,0026-0004542300010,"CISCO IP PHONE 7821",6000,07/16/2020,TELEPHONE,"MARCELA FARMS INCORPORATED","MFI-LAPSAON BREEDER DIMIAO","2026-08-26 01:35:35 PM",1
139,FAD-0110-0011439900002,"NEMA-1 ECB-40A 3P 230V",5230,08/11/2025,"PANEL BOARD","CENTRAL CONSTRUCTION GROUP","CCG-CDC CONSTRUCTION","2026-08-26 08:34:57 AM",1
140,0028-0003042900034,"CPU SET",16650,12/01/2021,CPU,"CENTRAL DISTRIBUTION CENTER","CDC-RETAIL 1 GROCERY","2026-08-26 08:56:52 AM",1
